id_sales,id_invoice,date_transaction,number_of_products,unit,currency,id_customer,level_customer,name_customer,id_branches,branch_city,id_distributor,customer_group,product_id,product_name,packaging,product_price,type_id,brand_id,brand_name,total_sales
1,IN5997,2020-01-22,1,DUS,IDR,CUST55380,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek,BRG0001,ACYCLOVIR DUS,DUS,96000,Produk jadi,206,OGB & PH,96000
2,IN5997,2020-01-22,4,DUS,IDR,CUST55380,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek,BRG0002,ALERGINE TABLET SALUT,DUS,112000,Produk jadi,203,ETIKAL,448000
3,IN5997,2020-01-22,6,BOTOL,IDR,CUST55380,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek,BRG0003,AMPICILLIN,BOTOL,17000,Produk jadi,210,MARCKS,102000
4,IN5997,2020-01-22,11,TABLET,IDR,CUST55380,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek,BRG0004,TRAMADOL KAPSUL 50 MG,TABLET,24500,Produk jadi,201,VNS,269500
5,IN5997,2020-01-22,40,TABLET,IDR,CUST55380,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,47000,Produk jadi,203,SLCYL,1880000
6,IN6297,2020-01-22,5,DUS,IDR,CUST55381,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek,BRG0002,ALERGINE TABLET SALUT,DUS,112000,Produk jadi,203,ETIKAL,560000
7,IN6297,2020-01-22,15,TABLET,IDR,CUST55381,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,47000,Produk jadi,203,SLCYL,705000
8,IN6297,2020-01-22,12,BOTOL,IDR,CUST55381,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek,BRG0007,ERGOTAMINE COFFEINE,BOTOL,64700,Produk jadi,206,ETIKAL,776400
9,IN6297,2020-01-22,30,TABLET,IDR,CUST55381,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek,BRG0008,TETRACYCLINE KAPSUL 250 MG,TABLET,9800,Produk jadi,204,MARCKS,294000
10,IN6155,2021-01-22,9,BOTOL,IDR,CUST55382,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik,BRG0003,AMPICILLIN,BOTOL,17000,Produk jadi,210,MARCKS,153000
11,IN6155,2021-01-22,12,TABLET,IDR,CUST55382,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik,BRG0004,TRAMADOL KAPSUL 50 MG,TABLET,24500,Produk jadi,201,VNS,294000
12,IN6155,2021-01-22,12,TABLET,IDR,CUST55382,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,47000,Produk jadi,203,SLCYL,564000
13,IN6155,2021-01-22,22,TABLET,IDR,CUST55382,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik,BRG0006,KETOCONAZOLE TABLET 200 MG,TABLET,39000,Produk jadi,205,OGB & PH,858000
14,IN6155,2021-01-22,10,BOTOL,IDR,CUST55382,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik,BRG0007,ERGOTAMINE COFFEINE,BOTOL,64700,Produk jadi,206,ETIKAL,647000
15,IN6155,2021-01-22,25,TABLET,IDR,CUST55382,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik,BRG0008,TETRACYCLINE KAPSUL 250 MG,TABLET,9800,Produk jadi,204,MARCKS,245000
16,IN6155,2021-01-22,25,BOTOL,IDR,CUST55382,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik,BRG0009,AMBROXOL HC,BOTOL,31000,Produk jadi,207,VNS,775000
17,IN6155,2021-01-22,12,BOTOL,IDR,CUST55382,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik,BRG0010,PARACETAMOL,BOTOL,21000,Produk jadi,208,SLCYL,252000
18,IN6144,2022-01-22,13,TABLET,IDR,CUST55383,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek,BRG0004,TRAMADOL KAPSUL 50 MG,TABLET,24500,Produk jadi,201,VNS,318500
19,IN6144,2022-01-22,13,BOTOL,IDR,CUST55383,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek,BRG0007,ERGOTAMINE COFFEINE,BOTOL,64700,Produk jadi,206,ETIKAL,841100
20,IN6144,2022-01-22,13,TABLET,IDR,CUST55383,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek,BRG0008,TETRACYCLINE KAPSUL 250 MG,TABLET,9800,Produk jadi,204,MARCKS,127400
21,IN6144,2022-01-22,13,BOTOL,IDR,CUST55383,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek,BRG0009,AMBROXOL HC,BOTOL,31000,Produk jadi,207,VNS,403000
22,IN6144,2022-01-22,13,BOTOL,IDR,CUST55383,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek,BRG0010,PARACETAMOL,BOTOL,21000,Produk jadi,208,SLCYL,273000
23,IN6280,2023-01-22,2,DUS,IDR,CUST55384,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik,BRG0001,ACYCLOVIR DUS,DUS,96000,Produk jadi,206,OGB & PH,192000
24,IN6280,2023-01-22,3,DUS,IDR,CUST55384,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik,BRG0002,ALERGINE TABLET SALUT,DUS,112000,Produk jadi,203,ETIKAL,336000
25,IN6280,2023-01-22,5,TABLET,IDR,CUST55384,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,47000,Produk jadi,203,SLCYL,235000
26,IN6280,2023-01-22,25,TABLET,IDR,CUST55384,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik,BRG0006,KETOCONAZOLE TABLET 200 MG,TABLET,39000,Produk jadi,205,OGB & PH,975000
27,IN6280,2023-01-22,10,BOTOL,IDR,CUST55384,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik,BRG0007,ERGOTAMINE COFFEINE,BOTOL,64700,Produk jadi,206,ETIKAL,647000
28,IN6280,2023-01-22,10,BOTOL,IDR,CUST55384,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik,BRG0009,AMBROXOL HC,BOTOL,31000,Produk jadi,207,VNS,310000
29,IN6280,2023-01-22,10,BOTOL,IDR,CUST55384,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik,BRG0010,PARACETAMOL,BOTOL,21000,Produk jadi,208,SLCYL,210000
30,IN6052,2023-01-22,5,TABLET,IDR,CUST55385,Company,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek,BRG0006,KETOCONAZOLE TABLET 200 MG,TABLET,39000,Produk jadi,205,OGB & PH,195000
31,IN6052,2023-01-22,5,BOTOL,IDR,CUST55385,Company,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek,BRG0009,AMBROXOL HC,BOTOL,31000,Produk jadi,207,VNS,155000
32,IN6052,2023-01-22,5,BOTOL,IDR,CUST55385,Company,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek,BRG0010,PARACETAMOL,BOTOL,21000,Produk jadi,208,SLCYL,105000
33,IN6089,2025-01-22,9,BOTOL,IDR,CUST55386,Company,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek,BRG0007,ERGOTAMINE COFFEINE,BOTOL,64700,Produk jadi,206,ETIKAL,582300
34,IN6251,2023-01-22,2,DUS,IDR,CUST55387,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek,BRG0001,ACYCLOVIR DUS,DUS,96000,Produk jadi,206,OGB & PH,192000
35,IN6251,2023-01-22,2,DUS,IDR,CUST55387,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek,BRG0002,ALERGINE TABLET SALUT,DUS,112000,Produk jadi,203,ETIKAL,224000
36,IN6251,2023-01-22,12,BOTOL,IDR,CUST55387,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek,BRG0003,AMPICILLIN,BOTOL,17000,Produk jadi,210,MARCKS,204000
37,IN6251,2023-01-22,5,TABLET,IDR,CUST55387,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek,BRG0004,TRAMADOL KAPSUL 50 MG,TABLET,24500,Produk jadi,201,VNS,122500
38,IN6251,2023-01-22,5,TABLET,IDR,CUST55387,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,47000,Produk jadi,203,SLCYL,235000
39,IN6251,2023-01-22,5,TABLET,IDR,CUST55387,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek,BRG0006,KETOCONAZOLE TABLET 200 MG,TABLET,39000,Produk jadi,205,OGB & PH,195000
40,IN6251,2023-01-22,12,BOTOL,IDR,CUST55387,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek,BRG0007,ERGOTAMINE COFFEINE,BOTOL,64700,Produk jadi,206,ETIKAL,776400
41,IN6251,2023-01-22,5,TABLET,IDR,CUST55387,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek,BRG0008,TETRACYCLINE KAPSUL 250 MG,TABLET,9800,Produk jadi,204,MARCKS,49000
42,IN6251,2023-01-22,12,BOTOL,IDR,CUST55387,Company,APOTEK TAPAK,CAB01,Aceh,EPM,Apotek,BRG0009,AMBROXOL HC,BOTOL,31000,Produk jadi,207,VNS,372000
43,IN6036,2027-01-22,15,BOTOL,IDR,CUST55388,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek,BRG0003,AMPICILLIN,BOTOL,17000,Produk jadi,210,MARCKS,255000
44,IN6036,2027-01-22,12,TABLET,IDR,CUST55388,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek,BRG0004,TRAMADOL KAPSUL 50 MG,TABLET,24500,Produk jadi,201,VNS,294000
45,IN6036,2027-01-22,22,BOTOL,IDR,CUST55388,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek,BRG0009,AMBROXOL HC,BOTOL,31000,Produk jadi,207,VNS,682000
46,IN6036,2027-01-22,10,BOTOL,IDR,CUST55388,Company,APOTEK MAJA,CAB02,Kuningan,TA,Apotek,BRG0010,PARACETAMOL,BOTOL,21000,Produk jadi,208,SLCYL,210000
47,IN6029,2028-01-22,1,DUS,IDR,CUST55389,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik,BRG0001,ACYCLOVIR DUS,DUS,96000,Produk jadi,206,OGB & PH,96000
48,IN6029,2028-01-22,5,BOTOL,IDR,CUST55389,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik,BRG0003,AMPICILLIN,BOTOL,17000,Produk jadi,210,MARCKS,85000
49,IN6029,2028-01-22,7,TABLET,IDR,CUST55389,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik,BRG0004,TRAMADOL KAPSUL 50 MG,TABLET,24500,Produk jadi,201,VNS,171500
50,IN6029,2028-01-22,7,TABLET,IDR,CUST55389,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik,BRG0005,KLORPROMAZINA TABLET SALUT SELAPUT 100 MG,TABLET,47000,Produk jadi,203,SLCYL,329000
51,IN6029,2028-01-22,7,TABLET,IDR,CUST55389,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik,BRG0006,KETOCONAZOLE TABLET 200 MG,TABLET,39000,Produk jadi,205,OGB & PH,273000
52,IN6029,2028-01-22,14,BOTOL,IDR,CUST55389,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik,BRG0007,ERGOTAMINE COFFEINE,BOTOL,64700,Produk jadi,206,ETIKAL,905800
53,IN6029,2028-01-22,8,TABLET,IDR,CUST55389,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik,BRG0008,TETRACYCLINE KAPSUL 250 MG,TABLET,9800,Produk jadi,204,MARCKS,78400
54,IN6029,2028-01-22,18,BOTOL,IDR,CUST55389,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik,BRG0009,AMBROXOL HC,BOTOL,31000,Produk jadi,207,VNS,558000
55,IN6029,2028-01-22,20,BOTOL,IDR,CUST55389,Company,KLINIK GM,CAB03,Jakarta,TA,Klinik,BRG0010,PARACETAMOL,BOTOL,21000,Produk jadi,208,SLCYL,420000
56,IN6190,2023-01-22,40,DUS,IDR,CUST55390,Company,APOTEK MERDEKA,CAB04,Bandung,TA,Apotek,BRG0001,ACYCLOVIR DUS,DUS,96000,Produk jadi,206,OGB & PH,3840000
57,IN6287,2030-01-22,17,DUS,IDR,CUST55391,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik,BRG0002,ALERGINE TABLET SALUT,DUS,112000,Produk jadi,203,ETIKAL,1904000
58,IN6287,2030-01-22,20,TABLET,IDR,CUST55391,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik,BRG0006,KETOCONAZOLE TABLET 200 MG,TABLET,39000,Produk jadi,205,OGB & PH,780000
59,IN6287,2030-01-22,16,BOTOL,IDR,CUST55391,Company,KLINIK SAHABAT,CAB05,Tangerang,TD,Klinik,BRG0010,PARACETAMOL,BOTOL,21000,Produk jadi,208,SLCYL,336000
60,IN6102,2031-01-22,11,BOTOL,IDR,CUST55392,Company,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek,BRG0003,AMPICILLIN,BOTOL,17000,Produk jadi,210,MARCKS,187000
61,IN6102,2031-01-22,24,BOTOL,IDR,CUST55392,Company,APOTEK SINAR JAYA,CAB06,Bekasi,TA,Apotek,BRG0007,ERGOTAMINE COFFEINE,BOTOL,64700,Produk jadi,206,ETIKAL,1552800
62,IN6301,2001-02-22,12,TABLET,IDR,CUST55393,Company,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek,BRG0004,TRAMADOL KAPSUL 50 MG,TABLET,24500,Produk jadi,201,VNS,294000
63,IN6301,2001-02-22,12,TABLET,IDR,CUST55393,Company,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek,BRG0006,KETOCONAZOLE TABLET 200 MG,TABLET,39000,Produk jadi,205,OGB & PH,468000
64,IN6301,2001-02-22,24,TABLET,IDR,CUST55393,Company,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek,BRG0008,TETRACYCLINE KAPSUL 250 MG,TABLET,9800,Produk jadi,204,MARCKS,235200
65,IN6301,2001-02-22,10,BOTOL,IDR,CUST55393,Company,APOTEK SAHABAT,CAB07,Padang,EPM,Apotek,BRG0009,AMBROXOL HC,BOTOL,31000,Produk jadi,207,VNS,310000
